,week_of,show_name,show_type,theatre,num_previews,num_performances,grosses,attendance,pct_capacity
0,1980-06-15,A CHORUS LINE,Musical,Shubert,0,8,202463.0,11509,0.98
1,1980-06-15,A DAY IN HOLLYWOOD/A NIGHT IN THE UKRAINE,Musical,Golden,0,8,110921.0,6407,0.99
2,1980-06-15,AIN'T MISBEHAVIN' 1978,Musical,Plymouth,0,8,103186.0,7091,0.82
3,1980-06-15,ANNIE 1977,Musical,Alvin,0,8,178471.0,10806,1.01
4,1980-06-15,BARNUM,Musical,St. James,0,8,225942.0,12490,0.98
5,1980-06-15,BENT,Play,New Apollo,0,8,57117.0,4732,0.51
6,1980-06-15,BLACKSTONE!,Special,Majestic,0,8,87222.0,5676,0.43
7,1980-06-15,CHILDREN OF A LESSER GOD 1980,Play,Longacre,0,8,138234.0,8538,1.0
8,1980-06-15,DANCIN',Musical,Broadhurst,0,8,112098.0,6707,0.73
9,1980-06-15,DEATHTRAP,Play,Music Box,0,8,50802.0,4546,0.56
10,1980-06-15,EVITA 1979,Musical,Broadway,0,8,272195.0,14072,1.0
11,1980-06-15,HOME,Play,Cort,0,8,57401.0,4798,0.55
12,1980-06-15,I OUGHT TO BE IN PICTURES,Play,Eugene O'Neill,0,8,92469.0,6531,0.76
13,1980-06-15,MORNING'S AT SEVEN 1980,Play,Lyceum,0,8,103235.0,5884,0.79
14,1980-06-15,NUTS,Play,Biltmore (Ne),0,8,49103.0,5639,0.74
15,1980-06-15,OH! CALCUTTA!,Musical,Edison,0,8,33403.0,2783,0.7
16,1980-06-15,OKLAHOMA! 1979,Musical,Palace,0,8,125470.0,7658,0.69
17,1980-06-15,PETER PAN 1979,Musical,Lunt-Fontanne,0,8,156926.0,8837,0.74
18,1980-06-15,ROMANTIC COMEDY,Play,Ethel Barrymore,0,8,53558.0,4232,0.48
19,1980-06-15,SUGAR BABIES,Musical,Hellinger,0,8,258369.0,12973,1.01
20,1980-06-15,SWEENEY TODD 1979,Musical,Uris,0,8,141766.0,9902,0.65
21,1980-06-15,TALLEY'S FOLLY,Play,Brooks Atkinson,0,8,123855.0,8124,0.93
22,1980-06-15,THE BEST LITTLE WHOREHOUSE IN TEXAS 1978,Musical,46Th Street,0,8,155512.0,9594,0.92
23,1980-06-15,THE ELEPHANT MAN 1979,Play,Booth,0,8,66543.0,5127,0.82
24,1980-06-15,THE MAN WHO CAME TO DINNER 1980,Play,Circle In The Square,8,0,37637.0,4342,0.78
25,1980-06-15,THE MUSIC MAN 1980,Musical,City Center,0,8,124934.0,8318,0.35
26,1980-06-15,THEY'RE PLAYING OUR SONG,Musical,Imperial,0,8,185967.0,10345,0.89
27,1980-06-15,WEST SIDE STORY 1980,Musical,Minskoff,0,8,198862.0,11890,0.92
28,1980-06-15,YOUR ARMS TOO SHORT TO BOX WITH GOD 1980,Musical,Ambassador,0,8,91478.0,6451,0.71
0,1980-06-22,A CHORUS LINE,Musical,Shubert,0,8,209846.0,11360,0.96
