,totalentries,totalgross,totalattendance,week_of
0,29,3595139.0,226002,1980-06-15
1,29,3776776.0,230967,1980-06-22
2,28,3752050.0,234877,1980-06-29
3,27,3342476.0,205396,1980-07-06
4,27,3639585.0,221945,1980-07-13
5,27,3593454.0,220187,1980-07-20
6,26,3625946.0,219835,1980-07-27
7,26,3645825.0,218059,1980-08-03
8,26,3644219.0,216647,1980-08-10
9,26,3502969.0,209764,1980-08-17
10,26,4010775.0,232196,1980-08-24
11,24,3507085.0,206389,1980-08-31
12,24,2828810.0,161858,1980-09-07
13,25,2954123.0,169083,1980-09-14
14,26,2970557.0,174630,1980-09-21
15,27,3403440.0,196581,1980-09-28
16,27,3318472.0,192351,1980-10-05
17,27,3595401.0,206235,1980-10-12
18,27,3687735.0,211462,1980-10-19
19,26,3710634.0,206771,1980-10-26
20,26,3393373.0,191453,1980-11-02
21,29,3676062.0,205846,1980-11-09
22,31,3980954.0,225997,1980-11-16
23,31,3723536.0,217027,1980-11-23
24,32,4311263.0,238601,1980-11-30
25,29,3566720.0,195697,1980-12-07
26,31,3583978.0,197657,1980-12-14
27,29,3193780.0,175511,1980-12-21
28,31,4291748.0,220627,1980-12-28
29,32,4886970.0,244323,1981-01-04
30,26,3323461.0,175711,1981-01-11
31,25,3374618.0,179274,1981-01-18
32,25,3332011.0,175779,1981-01-25
33,28,3423489.0,184779,1981-02-01
34,28,3173174.0,171186,1981-02-08
35,24,3489700.0,184893,1981-02-15
36,26,3924210.0,210777,1981-02-22
37,27,4445654.0,192859,1981-03-01
38,28,3443402.0,186904,1981-03-08
39,26,3741803.0,199746,1981-03-15
40,26,4085928.0,213411,1981-03-22
41,27,4217139.0,224072,1981-03-29
42,27,3897121.0,207826,1981-04-05
43,27,3982847.0,211086,1981-04-12
44,30,4324537.0,223718,1981-04-19
45,32,4758266.0,248274,1981-04-26
46,32,4364454.0,224485,1981-05-03
47,30,4133996.0,216781,1981-05-10
48,29,4352876.0,224486,1981-05-17
49,28,4473595.0,230474,1981-05-24
50,28,4297318.0,217964,1981-05-31
51,28,4299636.0,210331,1981-06-07
52,29,4423514.0,216998,1981-06-14
53,29,4396622.0,204256,1981-06-21
54,26,4448926.0,217475,1981-06-28
55,23,3519507.0,176366,1981-07-05
56,24,3896009.0,189618,1981-07-12
57,24,4082117.0,201518,1981-07-19
58,23,4317204.0,212497,1981-07-26
59,24,4264169.0,209216,1981-08-02
60,24,4414467.0,218160,1981-08-09
61,25,4548785.0,223173,1981-08-16
62,24,4756934.0,229104,1981-08-23
63,23,4209010.0,199359,1981-08-30
64,23,4061601.0,192003,1981-09-06
65,20,3323617.0,150330,1981-09-13
66,22,3749894.0,168612,1981-09-20
67,24,3968956.0,178307,1981-09-27
68,23,3992520.0,177289,1981-10-04
69,25,4326316.0,192698,1981-10-11
70,26,4622195.0,208436,1981-10-18
71,28,4742253.0,211319,1981-10-25
72,30,4283460.0,189695,1981-11-01
73,28,4436577.0,195517,1981-11-08
74,29,5047891.0,223090,1981-11-15
75,29,4901177.0,211684,1981-11-22
76,30,5272115.0,221923,1981-11-29
77,29,4564423.0,194864,1981-12-06
78,30,4792205.0,203631,1981-12-13
79,29,4143795.0,176083,1981-12-20
80,29,4930987.0,201581,1981-12-27
81,30,6477886.0,258598,1982-01-03
82,25,3990520.0,178156,1982-01-10
83,26,3509942.0,155270,1982-01-17
84,27,3492085.0,155390,1982-01-24
85,28,3708132.0,166650,1982-01-31
86,29,3574887.0,161339,1982-02-07
87,29,4343015.0,198722,1982-02-14
88,28,4793807.0,217564,1982-02-21
89,25,4052637.0,187153,1982-02-28
90,25,3694231.0,166927,1982-03-07
91,25,4142565.0,188690,1982-03-14
92,26,4175818.0,184845,1982-03-21
93,26,4263325.0,198736,1982-03-28
94,26,3729685.0,171691,1982-04-04
95,25,3869042.0,172759,1982-04-11
96,24,4443922.0,198251,1982-04-18
97,25,4047133.0,174602,1982-04-25
98,27,3867199.0,169320,1982-05-02
99,26,3843121.0,166932,1982-05-09
100,27,4162169.0,182356,1982-05-16
101,24,4370360.0,189013,1982-05-23
102,23,4011741.0,173842,1982-05-30
103,22,3584783.0,153544,1982-06-06
104,23,3904153.0,165465,1982-06-13
105,21,3966278.0,165769,1982-06-20
106,23,4101006.0,170970,1982-06-27
107,20,3529964.0,148581,1982-07-04
108,19,3293493.0,141415,1982-07-11
109,18,3325220.0,141445,1982-07-18
110,18,3383458.0,144853,1982-07-25
111,17,3404033.0,143465,1982-08-01
112,17,3416216.0,144719,1982-08-08
113,17,3557575.0,151124,1982-08-15
114,17,3665072.0,155155,1982-08-22
115,18,3543675.0,150813,1982-08-29
116,18,3471877.0,149092,1982-09-05
117,19,3148468.0,133153,1982-09-12
118,20,3335098.0,141214,1982-09-19
119,21,3637902.0,152004,1982-09-26
120,21,3878106.0,158635,1982-10-03
121,21,4081211.0,168995,1982-10-10
122,22,4199400.0,168028,1982-10-17
123,22,4194635.0,162645,1982-10-24
124,21,4000429.0,157550,1982-10-31
125,22,4061985.0,164691,1982-11-07
126,20,4292028.0,172436,1982-11-14
127,20,3814031.0,150034,1982-11-21
128,22,4569423.0,170876,1982-11-28
129,22,4050234.0,158070,1982-12-05
130,26,4183555.0,165178,1982-12-12
131,27,3783505.0,152397,1982-12-19
132,25,3797322.0,151168,1982-12-26
133,25,5864669.0,212780,1983-01-02
134,22,3636201.0,140801,1983-01-09
135,21,3394142.0,129190,1983-01-16
136,22,3254722.0,126264,1983-01-23
137,23,2866447.0,114038,1983-01-30
138,23,2901686.0,112226,1983-02-06
139,22,2701554.0,100475,1983-02-13
140,22,3437222.0,136018,1983-02-20
141,20,3318793.0,127603,1983-02-27
142,19,2985602.0,108051,1983-03-06
143,20,3383696.0,127053,1983-03-13
144,20,3840527.0,138615,1983-03-20
145,23,4149503.0,156635,1983-03-27
146,24,4725272.0,188658,1983-04-03
147,25,4522618.0,183403,1983-04-10
148,27,4405046.0,173205,1983-04-17
149,27,4655626.0,185339,1983-04-24
150,28,5012611.0,199490,1983-05-01
151,28,4980918.0,191411,1983-05-08
152,28,5426630.0,200916,1983-05-15
153,23,4919868.0,176319,1983-05-22
154,24,4806441.0,173765,1983-05-29
155,24,4376594.0,160192,1983-06-05
156,24,4688090.0,172439,1983-06-12
157,21,4273599.0,154422,1983-06-19
158,20,4301201.0,155044,1983-06-26
159,18,3503259.0,127272,1983-07-03
160,18,3363463.0,123127,1983-07-10
161,18,3438447.0,125906,1983-07-17
162,18,3605518.0,135608,1983-07-24
163,18,3728442.0,138269,1983-07-31
164,19,3820764.0,144015,1983-08-07
165,18,3976373.0,147534,1983-08-14
166,18,4016920.0,147237,1983-08-21
167,18,3933341.0,143473,1983-08-28
168,17,3661552.0,132150,1983-09-04
169,15,3094707.0,105643,1983-09-11
170,15,3289391.0,113350,1983-09-18
171,15,3515378.0,118884,1983-09-25
172,15,3546247.0,122645,1983-10-02
173,16,4179124.0,139301,1983-10-09
174,16,4180913.0,140777,1983-10-16
175,17,4328567.0,143198,1983-10-23
176,18,4459458.0,154257,1983-10-30
177,20,4498235.0,145739,1983-11-06
178,20,4577181.0,155543,1983-11-13
179,21,4446371.0,150000,1983-11-20
180,22,5022030.0,166702,1983-11-27
181,24,4394258.0,153595,1983-12-04
182,22,4592461.0,158157,1983-12-11
183,22,4084745.0,142759,1983-12-18
184,22,3547254.0,124613,1983-12-25
